,Location,Intercept,Mobility,RMSE_IHME,RMSE_Dense,RMSE_Sparse
21,Denmark,12.793967780859411,47.140260324321055,1.7930352443890372,1.8721346236526544,1.9373927814228398
22,Finland,12.86723779492683,73.07926116727057,3.534921939375112,3.6320587146282755,3.676177586741968
23,France,12.949277921625587,32.78888992813813,1.5741479332401918,1.639129452681001,1.6621216094098468
24,Greece,12.738614268684195,29.968439961401554,1.4201609916156672,1.5582359621423265,1.5577191562433021
25,Iceland,16.34703168217586,226.86593803196706,5.766582028783843,3.0878807612653887,3.1726203546501295
26,Ireland,13.53609873930569,57.98172080985785,3.98045444517922,4.00374187699665,4.004246433789862
27,Israel,13.832678917910668,66.97312876342123,3.462706526964478,3.7127511088767804,3.7132004023003535
28,Luxembourg,12.51379241250299,21.389156990079428,1.4728232552901699,1.5314376493469983,1.734218857094735
29,Netherlands,12.902886054267732,52.98964172994657,1.3492714708714564,1.463202831987572,1.4664889110815884
30,Norway,12.222285613272474,34.26615310286305,1.701975491142801,1.6440257537110954,1.6521971443537284
31,Portugal,13.507428941023203,52.510257449506035,2.470571291949901,2.546956843370974,2.549710868643047
32,Sweden,12.945329673870766,99.36650607549421,3.9301365457407065,3.800795596091789,3.898800954884578
33,Switzerland,12.676726264111846,66.51238737124437,3.7876816513047964,3.878714390164099,3.9783598836998015
34,United Kingdom,13.279564679921705,51.22356303188495,4.704400437240627,4.714794451716075,4.71863100662513
35,Argentina,13.28894730515269,36.93320515153731,1.447525074928053,1.6337357903579441,1.6726875013013303
36,Chile,13.63833084732326,73.48033033649806,3.5114763437858514,3.615443893902862,3.6325859830942124
37,Dominican Republic,13.779054270564922,40.135171121086046,2.207517861964907,2.229436976494687,2.232160181055289
38,Ecuador,15.974200864402256,128.0183108699165,8.214529750001306,8.066086334005611,8.068952984608822
39,Peru,12.974903147210302,15.999610362278638,1.0791716671495146,0.963191637587993,1.1821586553636318
40,Colombia,13.88273337241102,47.200691783171365,3.6339773337342467,3.630687937450351,3.632352158095924
41,Panama,13.118201744966939,10.667968594388,0.25398642590957726,0.266940805720937,0.2698436585300659
42,Egypt,13.106658723150476,41.80498919143624,3.8857687806790624,3.9548013606309445,3.9564867531895644
43,Iran (Islamic Republic of),12.273508249956684,15.233971429468518,0.9302675887831298,1.0334524892640504,1.0497389727678224
44,Turkey,12.597653653113344,28.829559362147513,0.2669071247822711,0.18476159034492118,0.17055476807384096
45,Puerto Rico,13.759306301467085,45.18207081631667,0.6812695071076232,0.34067179893409893,0.3470445379097508
46,Alabama,12.809348873241083,27.019607701623514,0.7032961390260242,0.653909370846777,0.8443497270090403
47,Alaska,12.235375379390565,57.81885854344708,3.8536655736372722,3.978331134582169,3.9982740044140637
48,Arizona,13.39623826219654,66.30888323970558,3.9951469360957286,3.8496799887593927,4.031162573307541
49,Arkansas,13.319985882364787,91.91905361285377,4.017373600918958,3.866724427510136,3.877065627573989
50,California,13.135411936365513,54.89183689962728,3.8100161656848788,3.8588107367930253,3.884638825359667
51,Colorado,12.44906777728883,37.1284757852159,0.7471841302114178,1.0092285598786177,1.0320598290792438
52,Connecticut,13.28241707288186,69.51478931620925,0.5905105126831988,0.7722042594164973,0.917183092389609
53,Delaware,13.341146326084898,68.28418030984602,3.8585905559640286,3.7719316100075786,3.826322690758604
54,District of Columbia,13.271783330064936,49.44522062174018,3.421885412287116,3.548572282828818,3.5560177496349015
55,Florida,13.33749717416977,30.009542088746525,0.29269073694362957,0.3390159364412262,0.35968535752693864
56,Georgia,12.740762587961159,19.18987650305747,0.4511764563281562,0.34388854288066023,0.6567871611962482
57,Hawaii,14.969051087261594,134.7426037366946,3.7383733732197633,3.3395885813226887,3.3878017700767544
58,Idaho,12.751887020602886,92.73541701561047,3.8067707304840837,3.8365722537275704,3.890074367836845
59,Illinois,12.732749793726807,32.57310357099882,0.6352280925130093,0.5646887302111016,0.6960444619473771
